,PERMNO,Names Date,Standard Industrial Classification Code,Ticker Symbol,Company Name,Price or Bid/Ask Average,Returns,Returns without Dividends,Return on the S&P 500 Index,subset
51,10107,20160429,7370,MSFT,MICROSOFT CORP,49.87,-0.097049,-0.097049,0.002699,False
52,10107,20160531,7370,MSFT,MICROSOFT CORP,53.0,0.069982,0.062763,0.015329,False
53,10107,20160630,7370,MSFT,MICROSOFT CORP,51.17,-0.034528,-0.034528,0.000906,False
54,10107,20160729,7370,MSFT,MICROSOFT CORP,56.68,0.10768,0.10768,0.03561,False
55,10107,20160831,7370,MSFT,MICROSOFT CORP,57.46,0.020113,0.013761,-0.001219,False
56,10107,20160930,7370,MSFT,MICROSOFT CORP,57.6,0.002436,0.002436,-0.001234,False
57,10107,20161031,7370,MSFT,MICROSOFT CORP,59.92,0.040278,0.040278,-0.019426,False
58,10107,20161130,7370,MSFT,MICROSOFT CORP,60.26,0.012183,0.005674,0.034174,False
59,10107,20161230,7370,MSFT,MICROSOFT CORP,62.14,0.031198,0.031198,0.018201,False
60,10107,20170131,7370,MSFT,MICROSOFT CORP,64.65,0.040393,0.040393,0.017884,False
61,10107,20170228,7370,MSFT,MICROSOFT CORP,63.98,-0.004331,-0.010364,0.037198,False
62,10107,20170331,7370,MSFT,MICROSOFT CORP,65.86,0.029384,0.029384,-0.000389,False
63,10107,20170428,7370,MSFT,MICROSOFT CORP,68.46,0.039478,0.039478,0.009091,False
64,10107,20170531,7370,MSFT,MICROSOFT CORP,69.84,0.025854,0.020158,0.011576,False
65,10107,20170630,7370,MSFT,MICROSOFT CORP,68.93,-0.01303,-0.01303,0.004814,False
66,10107,20170731,7370,MSFT,MICROSOFT CORP,72.7,0.054693,0.054693,0.019349,False
67,10107,20170831,7370,MSFT,MICROSOFT CORP,74.77,0.033838,0.028473,0.000546,False
68,10107,20170929,7370,MSFT,MICROSOFT CORP,74.49,-0.003745,-0.003745,0.019303,False
69,10107,20171031,7370,MSFT,MICROSOFT CORP,83.18,0.11666,0.11666,0.022188,False
70,10107,20171130,7370,MSFT,MICROSOFT CORP,84.17,0.016951,0.011902,0.028083,False
71,10107,20171229,7370,MSFT,MICROSOFT CORP,85.54,0.016277,0.016277,0.009832,False
72,11850,20120131,2911,XOM,EXXON MOBIL CORP,83.74,-0.012034,-0.012034,0.043583,False
73,11850,20120229,2911,XOM,EXXON MOBIL CORP,86.5,0.038572,0.032959,0.040589,False
74,11850,20120330,2911,XOM,EXXON MOBIL CORP,86.73,0.002659,0.002659,0.031332,False
75,11850,20120430,2911,XOM,EXXON MOBIL CORP,86.34,-0.004497,-0.004497,-0.007497,False
76,11850,20120531,2911,XOM,EXXON MOBIL CORP,78.63,-0.082696,-0.089298,-0.062651,False
